,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
21,22,NCT03156543,Shoulder Arthropathy Associated With Other Conditions|Shoulder Arthritis|Shoulder Osteoarthritis|Shoulder Pain,"Microcurrent Dressing to Treat Infections, Before, During and After Surgery",Device,United States,"April 19, 2017","October 1, 2019",United States
22,23,NCT04150796,Ventral Hernia|Umbilical Hernia|Epigastric Hernia,Comparing eTEP and Laparoscopic Intraperitoneal Onlay Mesh (IPOM) for Ventral Hernias,Procedure,United States,"November 4, 2019","November 4, 2022",United States
23,24,NCT00704340,Elective Cranial Procedures With Dural Incision,DuraSeal Sealant Post Market Study,Device,United States,September 2005,May 2009,United States
24,25,NCT03282981,Chronic Diabetic Foot Ulcers|Diabetic Neuropathic Ulcers|Non Healing Wound,Beta Adrenergic Antagonist for the Healing of Chronic DFU,Drug,United States,"June 14, 2018","December 31, 2022",United States
25,26,NCT04481802,Breast Cancer|Radiation Dermatitis,The Effect of RadiaAce Gel in the Prevention and Treatment of Radiation Dermatitis in Breast Cancer Patients,Device,Israel,"July 14, 2021",October 2022,Israel
26,27,NCT03229330,Venous Ulcer|Low-Level Light Therapy,Low-level Light Therapy on Treatment of Venous Ulcers Assesed by Nursing Outcome Classification (NOC),Procedure,Brazil,April 2016,December 2018,Brazil
27,28,NCT03113747,Second- or Third-degree Burns,Allogeneic ADSCs and Platelet-Poor Plasma Fibrin Hydrogel to Treat the Patients With Burn Wounds (ADSCs-BWs),Biological,Ukraine,"March 25, 2015","December 26, 2018",Ukraine
28,29,NCT04840147,Chondral Defect|Articular Cartilage Defect|Articular Cartilage Disorder of Knee,"A Comparison of JointRep® and Microfracture in Repair of Cartilage Lesions on the Femoral Condyle or Trochlea,",Device,Australia|Australia|Australia,April 2021,December 2025,Australia
29,30,NCT03654989,Diabetic Foot Ulcer,Iontophoresis of Treprostinil to Enhance Wound Healing in Diabetic Foot Skin Ulcers,Drug,France,"January 28, 2020",September 2023,France
30,31,NCT04133493,Diabetic Foot Ulcer,Omega3 Wound Fish Skin Graft in the Treatment of DFUs,Device,United States|United States|United States|United States|United States,"July 31, 2019","January 30, 2021",United States
31,32,NCT02689310,Pressure Ulcers,Leptospermum Scoparium Honey and Wound Care for Pressure Ulcers,Other,United States,"March 1, 2018",April 2018,United States
32,33,NCT04176120,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"July 1, 2020",April 2023,United States
33,34,NCT01211236,Pressure Ulcers,Maggot Therapy for Wound Debridement,Other,France|France|France,February 2006,,France
34,35,NCT03588130,Venous Leg Ulcer,A Study to Evaluate the Safety and the Efficacy of EscharEx (EX-02 Formulation) in Debridement of Venous Leg Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Switzerland,"December 2, 2019",April 2022,United States
35,36,NCT00837096,Diabetic Amputation Foot Wound,A Study Comparing V.A.C. Negative Pressure Wound Therapy (NPWT) to Moist Wound Therapy (MWT) in the Treatment of Diabetic Foot Amputation Wounds,Device,,June 2007,April 2008,
36,37,NCT03275831,Venous Ulcer|Arterial Ulcer,PluroGel on Wounds of Mixed Etiology,Device,United Kingdom|United Kingdom,"January 8, 2018","October 22, 2023",United Kingdom
37,38,NCT03564795,Partial-thickness Burn,Effectiveness of KeraStat Gel for Improved Cosmesis of Partial Thickness Burns,Device,United States,"August 31, 2018","October 31, 2022",United States
38,39,NCT02361931,Diabetic Foot Ulcer,Topical Erythropoietin Hydrogel Formulation for Diabetic Foot Ulcers,Drug,Israel|Israel|Israel|Israel|Israel,"March 21, 2016","June 12, 2018",Israel
39,40,NCT04970966,Chronic Sinus Disease|Surgery,Efficacy of PuraSinus Versus Bioresorbable Nasal Dressings,Device,United States,"November 1, 2021","March 30, 2023",United States
40,41,NCT02394873,Burn,A Study to Evaluate the Safety of ALLO-ASC-DFU in the Subjects With Deep Second-degree Burn Wound,Biological,"Korea, Republic of",March 2015,October 2015,"Korea, Republic of"
41,42,NCT04450693,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU II)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"November 20, 2020",July 2023,United States
42,43,NCT02394886,Diabetic Foot Ulcer,Safety of ALLO-ASC-DFU in the Patients With Diabetic Foot Ulcers,Biological,"Korea, Republic of",November 2014,July 2015,"Korea, Republic of"
43,44,NCT00691821,Skin Ulcer|Pressure Ulcer,Negative Pressure Wound Therapy for the Treatment of Chronic Pressure Wounds,Other,Canada|Canada|Canada|Canada,April 2009,May 2010,Canada
44,45,NCT04136847,Aging,Study to Evaluate the Efficacy and Tolerability of the SkinPen on Male and Female Subjects' Dorsal Hands as a Treatment for Signs of Hand Aging,Device,United States,"January 10, 2020","May 26, 2020",United States
45,46,NCT02120755,Diabetic Foot Ulcers|Wound Care,A Randomized Comparison of AmnioClear™ Human Allograft Amniotic Membrane vs. Moist Wound Dressing in the Treatment of Diabetic Wounds,Biological,United States,,,United States
46,47,NCT03450421,Uterine Fibroid,Safety and Efficacy of Actamax™Adhesion Barrier in Women Undergoing Laparoscopic Abdominopelvic Surgery/Myomectomy,Device,,June 2018,July 2024,
47,48,NCT03183726,Diabetic Foot Ulcer,A Follow-up Study to Evaluate the Safety of ALLO-ASC-DFU in ALLO-ASC-DFU-101 Clinical Trial,Biological,,"January 11, 2016","July 31, 2017",
48,49,NCT04887688,Chronic Wound|Diabetes|Spinal Cord Injury|Ischemic Wound,Exciflex for Chronic Wound Therapy,Device,United States,"October 1, 2021","September 30, 2022",United States
49,50,NCT03183622,Burn,A Follow-up Study to Evaluate the Safety of ALLO-ASC-DFU in ALLO-ASC-BI-101 Clinical Trial,Biological,"Korea, Republic of",November 2015,December 2017,"Korea, Republic of"
50,51,NCT01879046,Knee Osteoarthritis,Regenerative Medicine of Articular Cartilage: Characterization and Comparison of Chondrogenic Potential and Immunomodulatory Adult Mesenchymal Stem Cells,Procedure,France,October 2015,December 2016,France
0,1,NCT04601532,Superficial Partial Thickness Burn,Superficial Partial-Thickness Burn Study,Device,United States,"June 11, 2021",December 2022,United States
1,2,NCT01657318,Ulcer|Skin Ulcer|Leg Ulcer|Diabetic Foot,Olivamine-containing Products in the Management of Patients With Nonhealing Lower Extremity Ulcers,Other,Philippines,"September 1, 2012","February 15, 2013",Philippines
2,3,NCT01518491,Orthopedic Trauma Wounds,Open Label Trial of NanoDOX Hydrogel in Orthopedic Trauma Wounds With and Without Vacuum Assisted Closure Therapy,Drug,United States|United States,April 2012,December 2012,United States
3,4,NCT03190655,Partial-thickness Burn,Efficacy and Safety of Aluminaid Versus Hydrogel Wound Dressings,Device,Indonesia,"March 1, 2017","March 5, 2018",Indonesia
4,5,NCT01547325,Dehisced Surgical Wounds,Study of NanoDOX Hydrogel vs Placebo for Dehisced Surgical Wounds,Drug,United States,May 2012,August 2013,United States
5,6,NCT04265612,"Wound Infection, Surgical",Effect of the Negative Pressure Therapy Dressing Compared With Hydrogel Dressing.,Procedure,Spain,"November 5, 2019","July 13, 2021",Spain
6,7,NCT02241811,Wound Healing,Wound Treatment With 3% Sodium Pentaborate Pentahydrate,Drug,Turkey,September 2014,December 2023,Turkey
7,8,NCT03113747,Second- or Third-degree Burns,Allogeneic ADSCs and Platelet-Poor Plasma Fibrin Hydrogel to Treat the Patients With Burn Wounds (ADSCs-BWs),Biological,Ukraine,"March 25, 2015","December 26, 2018",Ukraine
8,9,NCT04834245,Diabetes Mellitus,Evaluation of Diabetic Foot Wound Healing Using Hydrogel/Nano Silver-based Dressing vs. Traditional Dressing,Procedure,Egypt,"January 3, 2019","December 30, 2019",Egypt
9,10,NCT01062191,Burn,Altrazeal Range of Motion Study Comparing With Typical Carboxymethyl,Device,United States,May 2007,October 2008,United States
10,11,NCT00971048,Diabetic Foot Ulcers|Pressure Ulcers,Evaluation of the Effects of HP828-101 Versus Standard of Care in the Management of Partial or Full Thickness Wounds,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,September 2009,January 2011,United States
11,12,NCT02361931,Diabetic Foot Ulcer,Topical Erythropoietin Hydrogel Formulation for Diabetic Foot Ulcers,Drug,Israel|Israel|Israel|Israel|Israel,"March 21, 2016","June 12, 2018",Israel
12,13,NCT03700580,"Diabetic Foot|Neuropathy, Diabetic|Foot Ulcer",Clinical Trial Using the Proteolytic Fraction P1G10 From V. Cundinamarcensis to Heal Diabetic Foot Ulcer,Drug,Brazil,"August 15, 2012","October 15, 2016",Brazil
13,14,NCT01143727,Diabetic Foot Ulcers,Enzymatic Versus (vs) Autolytic Debridement of Diabetic Foot Ulcers,Drug,United States,July 2010,October 2012,United States
14,15,NCT01427569,Diabetic Foot Ulcer,Efficacy Study of IZN-6D4 Gel for the Treatment of Diabetic Foot Ulcers,Drug,Israel,March 2012,August 2015,Israel
15,16,NCT01499264,Burns|Burn Injury|Hydrogel Bandage|Occlusive Dressings,Efficacy of MySkin Patch for the Healing of Burn Wounds: a Randomised Controlled Trial,Device,Italy|Italy,January 2012,October 2014,Italy
16,17,NCT01573234,Wounds and Injuries|Abrasion|Cut Injuries,Efficacy of MySkin Patch for the Healing of Cut Injuries and Abrasions,Device,Italy,April 2012,January 2014,Italy
17,18,NCT04908748,Soft Tissue Injuries|Contusions|Strains|Sprains|Bruises,"Esflurbiprofen Hydrogel Patch vs. Placebo in the Local Symptomatic and Short-term Treatment of Pain in Acute Strains, Sprains or Bruises of the Extremities",Drug,Germany,"May 20, 2021","March 1, 2022",Germany
18,19,NCT00970697,MARTORELL'S ULCER|Hypertensive Leg Ulcer|Necrotic Angiodermatitis,Becaplermin Gel for MARTORELL's Hypertensive Leg Ulcers,Drug,France,January 2004,June 2009,France
19,20,NCT02224638,Pressure Ulcers,Wound Management for Sacral Pressure Ulcers With Necrotic Tissue,Device,United States|United States,December 2014,August 2015,United States
20,21,NCT03282981,Chronic Diabetic Foot Ulcers|Diabetic Neuropathic Ulcers|Non Healing Wound,Beta Adrenergic Antagonist for the Healing of Chronic DFU,Drug,United States,"June 14, 2018","December 31, 2022",United States
21,22,NCT03754465,Diabetic Foot Ulcer,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Foot Ulcers,Biological,United States,"January 2, 2019","December 30, 2021",United States
22,23,NCT05041244,Diabetic Foot,Negative Pressure Wound Therapy in Diabetic Wounds,Device,Mauritius,"May 1, 2019","July 1, 2021",Mauritius
23,24,NCT02718625,Pressure Ulcer,Study of SANTYL® vs Hydrogel (SoloSite®) for Pressure Ulcers,Biological,United States,August 2016,"March 9, 2017",United States
24,25,NCT01534858,Burns,"A Prospective, Descriptive Cohort Study With Prontosan® Wound Gel X in Partial and Full Thickness Burns Requiring Split Thickness Skin Grafts",Device,Germany|Germany|Germany,March 2012,June 2015,Germany
25,26,NCT03674151,Split-skin Grafted Third-degree Burn Wound,Trial of Different Wound Dressings in Split-skin Grafted Third Degree Burns,Device,Germany,July 2015,December 2020,Germany
26,27,NCT01785784,Deep Partial Thickness Burn,Efficacy and Safety Study of rhGM-CSF Gel to Treat Deep 2nd Thickness Burn,Drug,,November 2010,July 2012,
27,28,NCT00764361,Diabetic Foot Ulcer,Safety Study of Topical Doxycycline Gel for Adult Diabetic Lower Extremity Ulcers,Drug,United States,January 2009,August 2010,United States
28,29,NCT04823962,Venous Leg Ulcer,Effect of rhGM-CSF on the Healing of Venous Leg Ulcers,Drug,Denmark,"March 11, 2021","May 30, 2022",Denmark
29,30,NCT04497805,Diabetic Foot Ulcer,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Wagner Grade II Foot Ulcers,Biological,United States,"August 1, 2020",December 2022,United States
30,31,NCT02631512,Diabetic Foot Ulcers,Evaluation of Woulgan in Diabetic Foot Ulcer,Device,Sweden|United Kingdom|United Kingdom,October 2015,"April 30, 2019",Sweden
31,32,NCT03275831,Venous Ulcer|Arterial Ulcer,PluroGel on Wounds of Mixed Etiology,Device,United Kingdom|United Kingdom,"January 8, 2018","October 22, 2023",United Kingdom
32,33,NCT02729207,Ankle Sprain,Proof-of-concept Study of NSAID Hydrogel Patch in Treatment of Acute Pain,Drug,United States,June 2016,March 2017,United States
33,34,NCT00498992,"Dermatologic Complications|Unspecified Adult Solid Tumor, Protocol Specific",Regenecare® Wound Gel in Treating Rash in Patients Receiving Cetuximab or Other Epidermal Growth Factor Receptor Inhibitor Therapy for Cancer,Dietary Supplement,United States,July 2006,,United States
34,35,NCT04997863,Wound|Donor Site Complication|Skin Graft Scar|Scar Conditions and Fibrosis of Skin,Clinical Efficacy and Safety of Sericin Hydrogel Sheet Impregnated With Bird's Nest Extract,Device,Thailand,"November 1, 2021","October 31, 2022",Thailand
35,36,NCT01438125,Scars,MF-4181 for the Reduction of Scars Secondary to Abdominoplasty or Laparoscopy/Laparotomy Gynecologic Procedures,Other,Poland|Poland|Poland,February 2009,May 2011,Poland
36,37,NCT02689310,Pressure Ulcers,Leptospermum Scoparium Honey and Wound Care for Pressure Ulcers,Other,United States,"March 1, 2018",April 2018,United States
37,38,NCT01211236,Pressure Ulcers,Maggot Therapy for Wound Debridement,Other,France|France|France,February 2006,,France
38,39,NCT02445417,Encephalopathy|Asphyxia Newborns,Brain Activity During Birth for Prediction of Newborns at Risk for Brain Injury,,United States,"June 25, 2015",,United States
39,40,NCT03461783,Wound Infection,Activated Carbon Interphase Effect on Biofilm and Total Bacterial Load,Device,United States|United States,"June 26, 2017","February 1, 2019",United States
40,41,NCT01105884,Diabetic Foot Ulcers,Clinical and Cost Effectiveness of Different Dressing Materials in Diabetic Foot Ulcers,Procedure,India,October 2009,July 2012,India
41,42,NCT04481802,Breast Cancer|Radiation Dermatitis,The Effect of RadiaAce Gel in the Prevention and Treatment of Radiation Dermatitis in Breast Cancer Patients,Device,Israel,"July 14, 2021",October 2022,Israel
42,43,NCT02394873,Burn,A Study to Evaluate the Safety of ALLO-ASC-DFU in the Subjects With Deep Second-degree Burn Wound,Biological,"Korea, Republic of",March 2015,October 2015,"Korea, Republic of"
